"period_end_date","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"retained_earnings","606","","","","1606","1171","1654","1595","1659","1878","2211","2636","3159","3801","4592","5398","6099","6611","7330","8226","9787","11297","13352","15731","21670","24175","27560","31209","33990","36780","38237","38767","41981","43764","44968","49789","55692","59160","62784","68513","77345","82343","85097","79233","69761","67712","69249","67056"
"aoci","-6","","","","-6","-7","-29","-6","2","-15","-29","13","14","15","-5","-109","-228","-447","-357","-380","-455","-276","-374","-372","-703","-626","-370","-200","-227","-294","-687","-777","-760","-781","-483","-849","-489","-544","-142","308","927","154","285","-207","-693","-1996","-3411","-5054"
"apic","947","","","","2684","4433","11684","12585","10094","9961","10167","10399","12297","12921","13759","15949","30225","31337","32479","33574","34886","36129","37405","38756","38227","38639","39291","40199","40584","41134","41832","42352","42906","43533","44277","45059","45851","46688","47805","48910","50018","51160","52845","54334","55811","57512","59929","62092"
"treasury_stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_equity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"minority_interest_liability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_equity","2162","","","","4899","5597","13309","14174","11755","11824","12349","13048","15470","16737","18346","21238","36096","37501","39452","41420","44218","47150","50383","54115","59194","62188","66481","71208","74347","77620","79382","80342","84127","86516","88762","93999","101054","105304","110447","117731","128290","133657","138227","133360","124879","123228","125767","124094"
"total_liabilities_and_equity","2990","","","","6331","7184","14928","16038","15103","15163","15724","14933","17895","19028","20769","24188","39966","42007","44130","46469","49407","52075","55739","59674","64961","68714","73843","78998","84524","88945","90291","92452","97334","109477","117006","124418","133376","138371","139691","146437","159316","163523","170609","169585","165987","164218","169779","178894"
"cfo_net_income","","233","240","227","302","205","-157","-59","64","219","333","425","523","642","791","806","701","512","719","896","1561","1738","2283","2627","3569","3064","3895","4706","4269","4988","5105","5137","6882","2429","2616","6091","7349","4902","5179","7846","11219","9497","10395","9193","10285","7465","6687","4395"
"cfo_da","","51","72","97","103","110","139","176","224","233","230","274","274","264","257","289","433","457","459","486","543","552","585","591","614","671","729","772","853","949","1034","1107","1225","1355","1502","1416","1468","1597","1704","1698","1863","1972","1986","1995","2014","2156","1979","2175"
"cfo_receivables","","27","-55","-44","-102","65","-672","-50","487","54","-116","-83","-233","105","-187","-182","-346","84","-282","-207","-568","267","-492","-253","-1011","609","-386","-458","-1374","788","-627","-489","-1564","1070","-1006","-328","-1697","2046","-122","-377","-3059","849","-1366","-555","-2038","2557","-522","-105"
"cfo_inventory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_prepaid_expenses","","-26","-200","113","89","-33","26","31","-489","-1","429","5","-78","-4","14","-55","-78","-43","-47","-55","1","-107","-150","-57","155","-365","-212","-57","442","-365","-533","9","199","84","-252","-359","574","-29","-324","264","224","-461","-1852","-253","816","573","-435","-831"
"cfo_other_working_capital","","52","19","117","45","14","142","25","-45","37","132","27","503","12","209","39","211","213","333","692","663","345","717","323","1021","291","269","242","2886","584","22","665","-216","3171","4444","1034","515","667","-4511","175","2323","-1797","1328","2191","3838","-389","1400","1504"
