"period_end_date","2003-04","2003-07","2003-10","2004-01","2004-04","2004-07","2004-10","2005-01","2005-04","2005-07","2005-10","2006-01","2006-04","2006-07","2006-10","2007-01","2007-04","2007-07","2007-10","2008-01","2008-04","2008-07","2008-10","2009-01","2009-04","2009-07","2009-10","2010-01","2010-04","2010-07","2010-10","2011-01","2011-04","2011-07","2011-10","2012-01","2012-04","2012-07","2012-10","2013-01","2013-04","2013-07","2013-10","2014-01","2014-04","2014-07","2014-10","2015-01","2015-04","2015-07","2015-10","2016-01","2016-04","2016-07","2016-10","2017-01","2017-04","2017-07","2017-10","2018-01","2018-04","2018-07","2018-10","2019-01","2019-04","2019-07","2019-10","2020-01","2020-04","2020-07","2020-10","2021-01","2021-04","2021-07","2021-10","2022-01","2022-04","2022-07","2022-10"
"tax_payable","1143","752","679","1377","1588","637","525","1281","1971","1021","650","1340","1969","700","252","706","1558","170","","1000","1711","555","355","677","1810","1162","810","1347","2726","1257","518","157","927","898","382","3487","2560","1308","1010","5062","2318","116","255","3520","1966","511","383","3613","1707","373","587","3065","1328","720","459","3737","2018","505","540","3718","718","424","616","3407","729","387","327","3319","1303","610","548","3570","851","267","446","4098","904","868","900"
"current_accrued_liabilities","8363","9197","10158","10671","9937","10840","12325","12120","11056","11884","12702","13274","12779","13028","14283","14675","13407","14056","14806","15725","14912","15607","15343","18112","15263","16706","16638","18734","15617","17547","17518","18701","15962","17815","16890","15857","16637","17753","18536","15957","17282","18616","18606","16239","17807","18237","18773","16560","18685","18290","19499","17063","19605","19651","21243","15982","19708","19686","21757","17032","20782","22846","22795","17248","21023","20691","20973","17267","20377","23768","24995","19594","21371","23915","24474","20233","21061","23843","27443"
"st_debt","4402","5223","7622","6171","8709","11242","11290","7571","11057","12134","10946","8349","9181","12307","13458","7998","8839","11293","13538","10953","11788","6527","12685","7354","7188","8081","9408","4573","10824","10185","12548","5686","6624","8222","11064","6022","8308","10120","15290","12392","12222","13331","16964","11773","6804","8175","10893","6383","6840","5749","7706","5453","6070","4197","7348","3355","5873","6516","8371","8995","9338","1534","10386","7101","6292","8077","9019","5937","10031","5910","4598","3339","3862","2288","2022","3213","15012","15950","12269"
"current_deferred_revenue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1856","","","","2017","","","","1932","","","","1990","","","","2310","","","","2559","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","299","","","","1642","1088","537","","1946","1269","645","477","2305","1885","607","","3088","1794","896","140","3322","1958","1121","83","3279","2114","1059","92","3620","2367","1268","47","3872","2584","1332","","4083","2741","1406","","4649","3141","1660","89","4718","3100","1553","","4741","3162","1589","","4723","3101","1541","","4628","3057","1530","","4607","3057","1516","","4551","3023","1507","","4588","3060","1529","12734","4651","3109","1528","21","4631","3049","1527"
"total_current_liabilities","32222","32833","39225","37840","41066","43007","47016","43182","49168","49165","50315","48825","51865","54139","58163","52148","54700","55250","60349","58478","61102","54904","60600","55390","56399","57196","59179","55543","64512","65655","68407","58603","62051","64624","67339","62300","68978","68315","76845","71818","73552","72214","77021","69345","67942","67152","71560","65253","69624","65262","70492","64619","70282","68122","74130","66928","74193","72811","80435","78521","80757","71683","85751","77477","79888","80283","83784","77790","82647","81957","88121","92645","80841","81122","87620","87379","96530","99899","101408"
"lt_debt","17939","17227","16951","17102","17468","17044","19099","20087","18232","20209","23249","26429","25036","24099","24154","27222","29567","27966","30070","29799","32379","34168","30803","31349","32480","33579","34394","33231","32668","35629","40803","40692","45486","45238","44872","44070","42956","41202","38872","38394","41536","40678","41702","41771","45699","43004","41720","40889","38867","38581","38617","38214","37151","36673","36178","36015","33774","33706","34206","30045","29477","44958","43275","43520","47425","44404","44912","43714","43006","40959","40849","41194","40273","39581","36425","34864","32174","29801","33935"
"noncurrent_capital_leases","3000","2980","2997","2997","3032","3100","3048","3171","3396","3499","3547","3667","4000","3883","3622","3513","3548","3594","3520","3603","3584","3544","3268","3200","3185","3246","3207","3170","3112","3073","3096","3150","3211","3214","2979","3009","3040","2975","2964","3023","3015","2907","2841","2788","2742","2695","2767","2606","4097","4262","5581","5816","6242","6070","5930","6003","6251","6763","6700","6780","6828","6610","6621","6683","19529","19994","19809","20478","20143","20342","20732","16756","16732","17068","17156","17252","17635","17560","17170"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","1727","1771","2054","2359","2171","2328","2588","2978","2867","2792","3391","4501","4730","4741","4785","4971","5426","5449","5614","5087","5310","5410","5575","6014","5835","5773","6202","5508","5152","5368","6197","6682","6902","7304","8085","7862","7735","8028","8044","7613","7694","7989","8298","8017","8164","8311","7789","8805","8169","8391","7824","7321","7272","7877","10144","9344","9386","9240","9167","8354","9541","8999","11467","11981","12792","13049","13018","12961","12986","12927","13657","14370","14143","13654","12893","13474","13943","14092","14760"
"other_lt_liabilities","1385","1381","1422","1484","1459","1436","1452","1340","1361","1379","1379","1594","1540","1554","1632","2160","2270","2404","2432","1939","1878","2076","2058","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_liabilities","56273","56192","62649","61782","65196","66915","73203","70758","75024","77044","81881","85016","87171","88416","92356","90014","95511","94663","101985","98906","104253","100102","102304","95953","97899","99794","102982","97452","105444","109725","118503","109127","117650","120380","123275","117241","122709","120520","126725","120848","125797","123788","129862","121921","124547","121162","123836","117553","120757","116496","122514","115970","120947","118742","126382","118290","123604","122520","130508","123700","126603","132250","147114","139661","159634","157730","161523","154943","158782","156185","163359","164965","151989","151425","154094","152969","160282","161352","167273"
"common_stock","2405","2492","2514","431","2613","2643","2723","423","2827","2874","2925","417","3070","3165","3237","413","3284","3412","3421","397","3628","3986","4219","393","4048","4173","4134","378","4059","3999","3969","352","3798","3876","3769","342","339","338","336","332","329","327","324","323","323","323","323","323","323","321","321","317","313","310","308","305","302","299","297","295","294","294","291","288","286","285","284","284","284","283","283","282","280","278","277","276","275","272","270"
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","38400","39836","39750","40206","38292","39427","40850","43854","42153","43122","45495","49105","49020","51091","53738","55818","53956","55414","55519","57319","55257","57883","59809","63660","61556","63153","64105","66357","62486","61746","61451","63967","60330","62779","64769","68691","65463","67732","70256","72978","68489","70791","72888","76566","73366","77172","80814","85777","82492","84959","87903","90021","84145","85972","87636","89354","84120","84838","84480","85107","82982","80810","80287","80785","76276","78432","80656","83943","81141","87614","92279","88763","82577","84572","85674","86904","80532","82519","77946"
"aoci","-605","266","-92","851","1479","1074","1313","2694","2211","1725","1498","1053","1224","2116","1788","2508","2671","3460","4139","3864","4345","4924","1511","-2688","-3373","-318","-551","-70","-216","-1099","105","646","878","1286","-1375","-1410","-463","-1531","-562","-587","-1968","-2889","-2183","-2996","-2712","-1957","-4251","-7168","-8595","-8388","-10659","-11597","-10995","-11672","-12335","-14232","-12954","-11100","-11133","-10181","-10281","-12629","-11469","-11542","-11091","-11270","-12382","-12805","-16168","-15784","-14616","-11766","-7946","-7976","-8488","-8766","-8498","-9894","-10780"
"apic","","","","2135","","","","2425","","","","2596","","","","2834","","","","3028","","","","3920","","","","3803","","","","3577","","","","3692","3625","3739","3861","3620","3399","3432","2364","2362","2111","2208","2223","2462","2354","1979","2006","1805","1720","1915","2084","2371","2223","2352","2501","2648","2557","2710","2887","2965","2734","2880","3091","3247","2983","3197","3485","3646","3424","3655","4811","4839","4587","4672","4817"
"treasury_stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_equity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"minority_interest_liability","","","","","","","","","","","","","","","","","","","","","","","","2191","1960","2140","2264","2487","2598","2573","2862","3113","3409","5335","4601","4850","5427","4863","5202","5914","6141","5520","6621","6575","5111","5077","4944","4543","3416","3253","3059","3065","2575","2619","2782","2737","2423","2657","2761","2953","2772","2627","7473","7138","6705","6804","6658","6883","5870","5887","6073","6606","6257","6598","8483","8638","8964","8278","8130"
