"period_end_date","2010-12","2011-12","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06"
"total_equity","","-201.838","","-248.172","","716.896","705.045","2950.006","2936.846","3046.593","3525.038","3626.403","3687.097","4231.184","4274.163","4368.047","4477.486","4556.853","4629.332","4604.935","4690.376","4728.896","4829.406","5047.218","5210.436","5570.904","6452.572","6805.594","7088.819","8344.814","8415.642","8704.386","8795.627","7658.055","7812.088","7970.082","7736.65","7716.128","7172.631","7307.199","5904.916","5932.481"
"total_liabilities_and_equity","","720.675","","831.568","","964.059","992.803","3366.24","3356.209","3584.817","5448.654","5583.082","5643.417","6230.334","6289.064","6442.439","6476.168","6616.814","6742.946","6870.365","6892.742","6963.098","7075.789","7412.477","7539.441","8861.23","9746.191999999999","10162.572","11145.231","12521.607","11600.925","12703.389","13540.725","12547.587","13088.792","13379.09","14984.075","15323.225","14589.345","14059.516","13550.957","13579.287"
"cfo_net_income","","","","","-27.026","-42.225","-64.601","-511.471","-132.362","-144.642","-175.464","-125.352","-162.442","-136.663","-131.69","-90.236","-79.73099999999999","-107.217","-102.871","-167.054","-61.559","-116.488","-21.095","91.07899999999999","60.997","100.117","789.179","255.303","190.804","1119.56","36.522","118.773","-8.396000000000001","-1378.005","28.659","222.116","68.005","65.649","-536.7569999999999","181.694","513.2859999999999","-270.007"
"cfo_da","","","","","22.73","25.917","29.023","33.224","39.951","45.631","60.155","62.428","67.864","76.04900000000001","81.464","87.446","88.621","93.283","100.878","119.39","102.792","103.063","97.492","92.52","96.846","105.982","111.947","110.723","113.474","115.616","119.986","116.473","120.649","123.837","121.983","128.708","131.052","134.812","133.448","145.536","160.283","173.288"
"cfo_receivables","","","","","-0.972","-10.377","-22.913","-77.798","8.861000000000001","-46.074","-40.62","-99.75","-4.159","-39.785","-61.542","-111.099","65.756","20.457","-35.022","-74.16","153.348","-20.322","22.572","-152.93","61.166","-14.198","-11.579","-166.26","103.633","-36.396","26.695","-160.932","168.932","65.349","-136.469","-285.851","189.297","-100.328","-69.139","-209.776","190.737","37.842"
"cfo_inventory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_prepaid_expenses","","","","","-3.724","-1.577","2.891","-9.635","-30.415","13.186","-123.481","-24.685","-2.64","-5.221","-4.823","-37.486","-12.819","-4.166","19.316","4.77","-24","22.344","6.009","-18.327","-22.892","2.59","123.536","23.236","-9.284000000000001","6.737","-18.669","-8.385999999999999","-6.252","9.209","-27.722","31.163","-80.989","36.469","-33.874","-43.107","-48.836","67.864"
"cfo_other_working_capital","","","","","-3.32","11.317","6.997","47.755","27.236","63.863","12.913","36.991","-0.324","24.047","27.218","79.901","-74.88200000000001","24.581","25.915","122.85","-94.923","8.484999999999999","4.544","60.961","-47.114","65.89700000000001","17.192","57.748","-55.319","61.692","31.738","77.191","-154.194","131.665","94.905","84.67","-7.515","119.677","953.582","-749.264","-92.158","-174.683"
"cfo_change_in_working_capital","","","","","-8.016","-0.637","-13.025","-39.678","5.682","30.975","-151.188","-87.444","-7.123","-20.959","-39.147","-68.684","-21.945","40.872","10.209","53.46","34.425","10.507","33.125","-110.296","-8.84","54.289","129.149","-85.276","39.03","32.033","39.764","-92.127","8.486000000000001","206.223","-69.286","-170.018","100.793","55.818","850.569","-1002.147","49.743","-68.977"
"cfo_deferred_tax","","","","","-0.436","-0.07199999999999999","0.016","-8.41","0.01","-7.747","-2","0.128","-1.942","-22.364","0.08599999999999999","-3.905","0.08599999999999999","-0.041","0.013","-4.833","-0.24","-0.528","-0.575","-5.072","-0.67","-41.615","-706.081","-53.354","-110.056","-1034.135","5.898","15.782","-7.024","1082.361","-6.345","-4.596","-23.873","0.856","-199.772","-5.985","190.707","-59.559"
"cfo_stock_comp","","","","","12.92","22.65","43.6","521.2","126.37","158.41","169.6","177.22","182.81","175.14","165.92","158.25","150.92","167.7","158.53","138.1","117","113.4","100.96","102.45","73.27","79.47","91.61","81.89","83.48999999999999","94.62","98.62","101.3","97.90000000000001","132.88","115.97","128.18","110.87","178.2","164.3","176.53","177.26","282.19"
"cfo_other_noncash_items","","","","","2.443","1.411","-0.40599999999999","2.2669999999999","3.032","-0.9299999999999899","12.995","16.338","13.014","18.776","25.035","16.367","24.813","19.959","22.433","57.48","11.03","79.753","30.04","27.426","21.07","22.897","28.095","22.713","34.951","11.279","34.729","16.978","35.152","33.72","23.806","25.91","3.337","-53.368","-22.808","-24.07","-965.188","-27.239"
"cf_cfo","","","","","2.615","7.044","-5.393","-2.868","42.683","81.697","-85.902","43.318","92.181","89.979","101.668","99.238","162.764","214.556","189.192","196.543","203.448","189.707","239.947","198.107","242.673","321.14","443.899","331.999","351.693","338.973","335.519","277.179","246.767","201.016","214.787","330.3","390.184","381.967","388.98","-528.442","126.091","29.696"
"cfi_ppe_net","","","","","-11.622","-15.139","-19.867","-29.116","-49.62","-44.457","-38.762","-68.791","-67.735","-92.605","-106.476","-80.464","-59.148","-39.087","-72.31699999999999","-48.105","-39.881","-44.626","-36.076","-40.159","-91.328","-193.757","-116.701","-69.078","-81.06999999999999","-134.694","-169.019","-149.747","-121.044","-162.134","-288.836","-292.17","-179.346","-276.193","-409.151","-138.394","-160.692","-153.646"
"cfi_acquisitions_net","","","","","0.178","","","","","-132.496","-30.981","","-28.927","2.627","-25.344","","","","","","","","","","","","","","","-20.302","","","-14.78","-19.505","","-13.731","-8.378","-14.559","","-9.765000000000001","","-9.379"
"cfi_investment_net","","","","","-64.577","73.598","44.337","-1228.761","174.721","-36.071","-67.015","-791.058","161.243","-724.842","52.167","22.602","30.806","-165.089","-17.672","-136.373","32.284","-39.825","120.022","-95.947","-166.314","-186.445","-911.17","-282.148","110.516","-270.2","493.026","-887.403","613.018","-397.318","-831.24","-21.775","877.167","80.271","502.227","-321.191","175.593","500.329"
"cfi_intangibles_net","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfi_other","","","","","-1.125","-3.787","-10.879","-39.306","-12.138","0.42200000000003","0.68699999999998","-1.7130000000001","-5.361999999999901","0.06499999999994099","0.5269999999999599","-9.897","-0.076000000000036","-80.73699999999999","-7.1160000000001","1.666","24.994","0.7650000000000401","1.097","0.82599999999999","-1.3500000000001","-33.329","1.1070000000002","-4.999999999999901","1.4566126083082E-13","11.368","-9.087","-9.361999999999899","-11.05","","","-1.7053025658242E-13","-9.085000000000001","0.69999999999993","-1.4210854715202E-13","-41.68","1050",""
