"period_end_date","2007-12","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"other_lt_assets","0.53100000000001","","1.479","","","4.493","6.33","17.852","24.784","77.592","27.597","27.87","28.217","28.335","15.931","26.029","26.101","26.599","12.855","12.578","17.226","10.3","30.072","29.583","32.179999999999","39.13","54.583000000001","62.361","73.301","84.166","78.38","114.935","138.271","161.64","991.218","1041.109","1041.094","1104.271","1171.497","1299.073","1254.087","1251.551","1392","1568.727","1608.833","1473","1470","1373","1415","1436","1536","1587","1626","1854","2138","2634","2952","3236"
"total_assets","34.837","","51.699","","","155.916","130.424","145.32","147.974","361.621","386.082","407.289","646.155","700.25","713.448","761.1","776.869","809.177","1114.19","1143.778","1887.844","2166.209","2416.93","4500.41","5054.463","5437.533","5830.667","6120.03","6468.185","7547.497","8067.939","9191.701999999999","11868.952","12592.397","22664.076","25053.726","26043.705","28107.074","28655.372","27271.429","27910","29262.713","29740","28912.524","31872.597","32795","34309","37250","38135","45691","52148","52972","55146","57834","62131","66038","68513","74426"
"accounts_payable","5.369","","14.184","","","17.357","15.086","18.19","25.634","26.99","28.951","49.66","57.199","53.627","56.141","64.333","78.601","162.025","303.382","304.204","262.227","302.439","303.969","375.778","443.548","649.362","777.946","732.331","771.6369999999999","824.861","916.148","1013.486","1114.878","1606.284","1860.341","2075.333","2359.316","2385.778","2390.25","2603.498","3030.493","3596.984","3405","3248.827","3133.587","3468","3771","3970","3638","4958","6051","6648","7558","8260","10025","11171","11212","13897"
"tax_payable","","","","","","","0.452","","1.581","2.32","2.686","0.962","1.025","1.962","0.967","0.652","0.84","1.762","9.710000000000001","14.658","16.08","18.645","38.067","27.984","28.416","40.825","71.229","83.739","49.288","64.129","101.206","93.836","71.985","129.044","152.897","","","","185.807","","","","348","","","","611","399","484","635","777","828","834","1084","1122","1272","1045","1114"
"current_accrued_liabilities","8.512","","11.145","","","11.066","11.888","7.922","3.304","4.392","11.743","13.935","17.542","24.6","31.142","24.345","21.33","16.642","30.088","26.053","39.046","55.886","68.053","98.401","130.631","147.114","197.654","270.029","296.113","309.73","321.592","344.686","486.227","565.974","920.6079999999999","1460.367","1510.744","1477.784","1332.766","1898.431","1814.979","1990.095","1122","2276.951","2622.943","2497","1851","1671","1822","1684","2111","2233","2945","3329","3670","3647","3985","4101"
"st_debt","","","","","","","","","","","","","","","7.916","20.194","35.637","50.841","50.841","50.841","","582.502","0.182","589.875","593.712","597.626","611.099","620.71","632.162","638.809","627.927","635.285","626.826","260.771","1150.147","1003.311","816.533","424.224","896.549","1998.03","2103.185","2106.538","2222","1352.596","1459.828","1643","1399","2851","3317","2766","1758","1415","1082","1207","1088","1168","1057","979"
"current_deferred_revenue","","","4.073","","","3.371","1.377","6.711","8.099","3.477","4.635","43.232","56.257","2.266","94.10599999999999","115.912","136.214","2.904","140.722","134.415","163.497","204.016","255.035","310.746","367.453","388.626","449.238","475.95","561.375","617.662","707.331","907.9829999999999","1238.65","1316.263","1426.985","1457.892","1516.938","1637.818","1869.172","1521.288","1518.45","1476.758","1423","1531.086","1514.4","1710","1889","1974","1843","1966","2210","2337","2505","2632","2372","2719","3040","3011"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","37.335","","58.192","","","28.962","28.396","25.989","29.72","31.858","37.271","4.912","6.426","71.33799999999999","","8.616","11.443","148.444","-1.1368683772162E-13","","5.6843418860808E-14","","2.1319999999999","2.289","2.3899999999999","6.6319999999998","","-4.5474735088646E-13","67.7","85.58","136.831","192.423","227.838","204.054","263.996","248.536","342.824","543.336","917.898","629.112","674.255","604.949","983","480.225","526.758","441","532","473","524","634","681","703","674","687","559","588","594","605"
"total_current_liabilities","51.296","","87.935","","","60.999","57.489","59.105","68.634","69.328","85.565","112.976","138.736","154.181","191.339","235.722","286.526","385.806","539.1079999999999","535.623","486.545","1169.459","675.16","1413.47","1575.85","1839.777","2107.166","2192.381","2384.388","2553.771","2811.035","3187.699","3766.404","4082.39","5827.005","6245.439","6546.355","6468.94","7674.67","8650.359","9141.361999999999","9775.324000000001","9993","9242.799999999999","9588.772999999999","10146","10667","11986","12270","13302","14248","14877","16371","18051","19705","21455","21821","24611"
"lt_debt","","","54.528","","","","","29.92","45.419","56.557","71.828","102.484","134.177","225","268.335","340.323","396.155","414.207","401.495","388.785","578.74","77.498","586.119","1589.909","1833.107","1848.796","1876.981","1942.949","2038.362","2027.575","2068.378","2526.955","2657.148","2454.69","5978.284","7166.239","7127.094","9584.554","9418.388999999999","8763.727999999999","9513.389999999999","9672.612999999999","8411","8650.022999999999","9905.847","10096","10402","9539","9291","9476","8513","8019","6878","5439","4254","2253","2095","1418"
"noncurrent_capital_leases","0.018","","0.888","","","0.711","0.8","0.719","0.639","0.5659999999999999","0.496","0.421","0.359","0.661","2.83","3.721","4.72","6.278","9.965","10.46","9.249000000000001","10.931","12.855","12.572","33.312","33.342","","11.265","11.254","","201.389","","","","1407.653","1487.076","1601.779","1693.871","1733.697","1721.284","1704.372","1676.035","2705","2184.379","2403.9","2287","2188","2162","2227","2262","2348","2364","2400","2628","2662","2714","2625","2573"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","","","","","1.028","2.387","1.427","3.987","4.95","5.702","6.319","6.534","7.159","6.985","7.008","6.783","2.477","9.465","12.091","75.27800000000001","139.828","181.18","227.287","251.003","270.997","292.271","312.85","334.628","362.261","463.447","496.997","533.253","581.202","888.756","989.332","1073.199","1126.003","1224.619","870.472","849.478","1007.769","1050","1157.343","1182.042","1140","1273","1199","1198","1233","1435","1438","1381","1405","2076","2209","2232","2285"
"other_lt_liabilities","101.369","","108.062","","","323.823","323.271","9.970000000000001","339.07","10.297","15.443","17.351","17.897","19.131","19.914","20.452","20.47","28.284","29.457","28.236","108.606","204.328","294.496","345.116","408.858","486.527","642.539","834.588","983.619","1289.234","1439.986","2009.686","2391.853","2793.627","2657.253","3004.55","3113.163","3056.046","2971.675","1545.18","1434.285","1277.403","1268","1640.073","1641.574","1644","1669","1692","1812","1918","1925","1809","1866","1817","1851","2001","2082","2415"
"total_liabilities","152.683","","251.413","","","386.561","383.947","101.141","457.749","141.698","179.034","239.551","297.703","406.132","489.403","607.226","714.654","837.052","989.49","975.1950000000001","1258.418","1602.044","1749.81","3588.354","4102.13","4479.439","4918.957","5294.033","5752.251","6232.841","6984.235","8221.337","9348.657999999999","9911.909","16758.951","18892.636","19461.59","21929.414","23023.05","21551.023","22642.887","23409.144","23427","22874.618","24722.136","25313","26199","26578","26798","28191","28469","28507","28896","29340","30548","30632","30855","33302"
"common_stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","1","1","1","1","1","1","3"
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","-122.132","","-204.914","","","-236.412","-260.654","-290.173","-328.689","-363.624","-414.982","-463.922","-522.826","-587.903","-669.3920000000001","-759.265","-864.871","-975.674","-1065.606","-1054.357","-1084.858","-1123.355","-1139.62","-1189.42","-1251.327","-1326.041","-1433.66","-1587.841","-1772.068","-2001.926","-2322.323","-2604.59","-2897.778","-2875.9","-2997.237","-3343.187","-3679.584","-4298.96","-4974.299","-5051.292","-5768.831","-5457.315","-5318","-5923.305","-6331.639","-6188","-6083","-6104","-6000","-5669","-5399","-4750","-3608","-1990","331","3649","5908","9198"
"aoci","","","","","","","","","","","","","","-0.024","-0.003","-0.006","","","","","","","","","","","-0.022","-15.965","-14.804","-23.985","-3.556","13.565","34.193","25.31","-23.74","-20.769","10.961","21.25","33.348","82.92100000000001","18.545","8.271000000000001","-8","-35.019","-5.605","-120","-36","-113","-40","125","363","143","206","120","54","-50","-477","-942"
