"period_end_date","2016-12","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12","2019-03","2019-06","2019-09","2019-12","2020-03","2020-06","2020-09","2020-12","2021-03","2021-06","2021-09","2021-12","2022-03","2022-06","2022-09"
"cfi_other","","","-1.4210854715202E-14","5.6843418860808E-14","-3.5527136788005E-15","1.4210854715202E-14","-1.7763568394003E-15","-1.4210854715202E-14","","","","","","","","","","","-30","-35","",""
"cf_cfi","","","114.068","-483.704","-11.645","116.082","6.173","-11.759","-246.901","113.367","130.293","-316","13","-1179","-190","-180","-3878","-3327","-1138","-3921","-1152","945"
"cff_common_stock_net","","","","","","","","","","","","550","1303","","","","","","","-623","-1298","-1006"
"cff_pfd_net","","","","549.5309999999999","111.58","-8.182","","","","","","","","","","","","","","","",""
"cff_debt_net","","","1.439","0.442","-1.266","-1.538","11.822","0.236","0.247","0.258","0.259","","","","-6","-2","-60","-34","-44","-31","-46","-46"
"cff_dividend_paid","","","","","","","","","","","","","","","","","","","","","",""
"cff_other","","","0.1","0.022000000000048","0.048000000000002","0.29","564.093","0.057","3.93","15.554","31.459","28","78","30","50","28","36","32","-829","12","17","11"
"cf_cff","","","1.539","549.995","110.362","-9.43","575.915","0.293","4.177","15.812","31.718","578","1381","30","44","26","-24","-2","-873","-642","-1327","-1041"
"ebitda","","","-35.913","-72.249","-91.137","-79.337","-145.681","-134.325","-136.232","-123.511","-120.932","-124","-114","-226","-268","1281","3131","3628","5488","4306","2523","1279"
"capex","","","-11.96","-31.909","-34.08","-26.14","-13.637","-7.595","-10.586","-6.711","-7.108","-6","-19","-19","-24","-35","-30","-99","-120","-132","-87","-89"
"fcf","","","-114.887","-143.294","-82.32899999999999","-106.351","-104.657","-151.863","-119.171","-113.804","-106.162","-112","-43","874","1240","2936","4033","3177","3190","2631","217","163"
"book_value","-334.81","","-551.365","","","1076.432","1530.241","1446.033","1338.554","1251.807","1174.81","1640.837","2946.885","2759.798","2561","3838","6704","10124","14145","17075","17985","17992"
"tangible_book_value","-334.81","","-551.365","","","1076.432","1530.241","1446.033","1338.554","1251.807","1174.81","1640.837","2946.885","2759.798","2561","3838","6704","10124","14145","17075","17985","17992"
"roa","","","-0.28","-0.53","","-0.38","-0.22","-0.24","-0.28","-0.32","-0.32","-0.28","-0.18","-0.15","-0.12","0.06","0.24","0.38","0.54","0.5600000000000001","0.52","0.45"
"roe","","","-0.49","-0.93","","-0.52","-0.3","-0.3","-0.35","-0.41","-0.42","-0.36","-0.21","-0.21","-0.28","0.19","0.66","0.84","1.01","0.9399999999999999","0.8","0.65"
