Date,Open,High,Low,Close,Adj Close,Volume
2020-01-27,37.390892,38.358635,37.239090,38.102467,34.413002,31964026
2020-01-28,37.305504,37.466793,36.005692,36.185959,32.682068,70202408
2020-01-29,36.166985,36.413662,35.626186,35.654648,32.202206,34165726
2020-01-30,35.199242,35.265656,34.810246,35.170776,32.089668,32316589
2020-01-31,35.047440,35.531307,35.009487,35.332069,32.236832,33894005
2020-02-03,35.540798,36.091084,35.388992,35.588234,32.470562,20875735
2020-02-04,36.129032,36.280834,35.702087,35.759014,32.626377,31150865
2020-02-05,35.910816,36.593929,35.882355,36.214420,33.041893,29443490
2020-02-06,36.470589,36.527515,36.081593,36.299809,33.119801,21047748
2020-02-07,36.394688,36.432636,35.986717,36.100571,32.938011,21903596
2020-02-10,36.252373,36.261860,35.787476,35.872864,32.730251,19998385
2020-02-11,35.948769,36.176472,35.825428,36.138519,32.972633,16027335
2020-02-12,36.138519,36.233398,35.787476,35.806454,32.669662,22944315
2020-02-13,35.654648,35.654648,35.000000,35.037952,31.968485,22099745
2020-02-14,35.075901,35.142315,34.554081,34.639469,31.604908,21006747
2020-02-18,34.677418,34.791271,34.411766,34.459202,31.440437,17988513
2020-02-19,34.535103,34.629982,34.354839,34.373814,31.362526,17750941
2020-02-20,33.880455,34.212524,33.595825,34.013283,31.033573,42953135
2020-02-21,33.927895,33.984821,33.709679,33.889942,30.921041,32425256
2020-02-24,33.244781,33.586338,32.827324,32.893738,30.012110,37969296
2020-02-25,32.903225,32.960152,31.982922,32.191650,29.371531,41878898
2020-02-26,32.485767,33.406071,32.277039,32.941177,30.055395,47920005
2020-02-27,32.675522,33.880455,32.352940,32.352940,29.518690,55444827
2020-02-28,31.774195,32.201138,30.863379,31.707781,28.930048,66057447
2020-03-02,32.172676,33.159393,31.736242,33.092979,30.193895,42034469
2020-03-03,33.377609,33.946869,32.125237,32.542694,29.691820,46174475
2020-03-04,33.301708,34.592030,33.159393,34.535103,31.509684,38712155
2020-03-05,33.823528,34.326378,33.358635,33.643265,30.695980,35096303
2020-03-06,32.922199,33.368122,32.371918,33.225807,30.315086,40931036
2020-03-09,31.745731,32.912712,31.461102,32.030361,29.224369,43183856
2020-03-10,32.798862,32.884251,31.318787,32.817837,29.942854,40548329
2020-03-11,32.030361,32.144215,30.037951,30.521822,27.847986,65350213
2020-03-12,28.918406,30.360531,28.462997,28.481974,25.986837,62731445
2020-03-13,29.667933,31.195446,28.681213,31.034157,28.315437,60553038
2020-03-16,28.406073,30.626186,28.130930,28.633776,26.125338,50995050
2020-03-17,30.018974,30.977230,29.022770,30.512335,27.839327,54220606
2020-03-18,29.193548,30.939280,28.757116,30.702087,28.012457,43884976
2020-03-19,30.569260,30.597723,28.472486,28.861481,26.333097,59820929
2020-03-20,28.728653,29.098673,27.428843,27.523720,25.112528,52488989
2020-03-23,27.286528,28.064516,26.451612,27.030361,24.662390,52853041
2020-03-24,27.998102,28.510435,27.419355,28.178368,25.709824,44466784
2020-03-25,27.988615,29.146111,27.514231,28.225805,25.753109,44601275
2020-03-26,28.358635,30.351044,28.349146,30.123341,27.484413,43269967
2020-03-27,29.222012,30.113852,29.089184,29.316889,26.748610,38290344
