revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
52886.0,7075.0,2983.0,2534.0,2534.0,9720.0,10000.0,19823.0,54481.0,54768.0,54768.0,10907.0,134100.0,50801.0,99105.0,34995.0,134100.0,2534.0,7449.0,-2949.0,6613.0,-2949.0,4500.0,34995.0,21051.0,0.13,3.83,9740.0,2018-06
56576.0,8136.0,3724.0,2883.0,2883.0,9760.0,10020.0,20425.0,59885.0,58019.0,58019.0,11238.0,143695.0,55324.0,104570.0,39125.0,143695.0,2883.0,8588.0,-2527.0,7502.0,-2527.0,6061.0,39125.0,24572.0,0.14,3.67,9780.0,2018-09
72383.0,9900.0,3786.0,3027.0,3027.0,9800.0,10000.0,31750.0,75101.0,95770.0,61797.0,7092.0,162648.0,68391.0,119099.0,43549.0,162648.0,3027.0,16477.0,-3120.0,8048.0,-3120.0,13357.0,43549.0,24891.0,0.14,3.73,9820.0,2018-12
59700.0,9252.0,4420.0,3561.0,3561.0,9820.0,10040.0,23115.0,69431.0,81180.0,81180.0,12783.0,178102.0,63695.0,129692.0,48410.0,178102.0,3561.0,1846.0,-2721.0,9274.0,-2721.0,-875.0,48410.0,33702.0,0.15,3.68,9840.0,2019-03
63404.0,8731.0,3084.0,2625.0,2625.0,9860.0,10060.0,22616.0,76790.0,86372.0,86372.0,13462.0,191351.0,69678.0,138290.0,53061.0,191351.0,2625.0,9118.0,-2643.0,8286.0,-2643.0,6475.0,53061.0,38334.0,0.14,3.61,9880.0,2019-06
69981.0,9312.0,3157.0,2134.0,2134.0,9900.0,10080.0,23255.0,79054.0,90776.0,90776.0,14535.0,199099.0,72136.0,142591.0,56508.0,199099.0,2134.0,7892.0,-3385.0,8720.0,-3385.0,4507.0,56508.0,41774.0,0.13,3.52,9900.0,2019-09
87436.0,11527.0,3879.0,3268.0,3268.0,9940.0,10140.0,36092.0,96334.0,144821.0,97846.0,12265.0,225248.0,87812.0,163188.0,62060.0,225248.0,3268.0,19659.0,-3940.0,10049.0,-3940.0,15719.0,62060.0,43257.0,0.13,3.63,9960.0,2019-12
75452.0,10339.0,3989.0,2535.0,2535.0,9960.0,10120.0,27201.0,85985.0,104058.0,104058.0,16456.0,221238.0,79711.0,155966.0,65272.0,221238.0,2535.0,3064.0,-5428.0,9351.0,-5428.0,-2364.0,65272.0,50533.0,0.14,3.39,9980.0,2020-03
88912.0,12058.0,5843.0,5243.0,5243.0,10000.0,10180.0,37466.0,110908.0,115054.0,115054.0,17601.0,258314.0,93896.0,184586.0,73728.0,258314.0,5243.0,20606.0,-6615.0,11591.0,-6615.0,13991.0,73728.0,58977.0,0.14,3.5,10020.0,2020-06
96145.0,13358.0,6194.0,6331.0,6331.0,10020.0,10240.0,29930.0,112969.0,134100.0,134100.0,20150.0,282179.0,101912.0,199404.0,82775.0,282179.0,6331.0,11964.0,-9808.0,12717.0,-9808.0,2156.0,82775.0,67815.0,0.14,3.41,10040.0,2020-09
125555.0,15748.0,6873.0,7222.0,7222.0,10000.0,10260.0,42122.0,132733.0,211101.0,150667.0,17797.0,321195.0,126385.0,227791.0,93404.0,321195.0,7222.0,30431.0,-13194.0,14491.0,-13194.0,17237.0,93404.0,73406.0,0.13,3.44,10060.0,2020-12
108518.0,17097.0,8865.0,8107.0,8107.0,10080.0,10260.0,33834.0,121408.0,160789.0,160789.0,25660.0,323077.0,115404.0,219757.0,103320.0,323077.0,8107.0,4213.0,-11187.0,16373.0,-11187.0,-6974.0,103320.0,88100.0,0.16,3.13,10072.0,2021-03
113080.0,17395.0,7702.0,7778.0,7778.0,10103.0,10286.0,40380.0,140848.0,176848.0,176848.0,27273.0,360319.0,117792.0,245516.0,114803.0,360319.0,7778.0,12715.0,-12988.0,15740.0,-12988.0,-273.0,114803.0,99453.0,0.15,3.14,10120.0,2021-06
110812.0,15004.0,4852.0,3156.0,3156.0,10132.0,10309.0,29944.0,138531.0,199303.0,199303.0,29227.0,382406.0,123994.0,261842.0,120564.0,382406.0,3156.0,7313.0,-14751.0,13800.0,-14751.0,-7438.0,120564.0,105219.0,0.14,3.17,10140.0,2021-09
137412.0,16819.0,3460.0,14323.0,14323.0,10171.0,10339.0,36220.0,161580.0,294882.0,216363.0,22128.0,420549.0,142266.0,282304.0,138245.0,420549.0,14323.0,22086.0,-16470.0,13262.0,-16470.0,5616.0,138245.0,117767.0,0.12,3.04,10180.0,2021-12
116444.0,14832.0,3669.0,-3844.0,-3844.0,10180.0,10180.0,36393.0,133876.0,224629.0,224629.0,32033.0,410767.0,139508.0,276766.0,134001.0,410767.0,-3844.0,-2790.0,-13742.0,12647.0,-13742.0,-16532.0,134001.0,113772.0,0.13,3.07,10180.0,2022-03
121234.0,16396.0,3317.0,-2028.0,-2028.0,10175.0,10175.0,37478.0,133667.0,232136.0,232136.0,33730.0,419728.0,140291.0,288326.0,131402.0,419728.0,-2028.0,8965.0,-14098.0,12911.0,-14098.0,-5133.0,131402.0,111207.0,0.14,3.19,10183.0,2022-06
127101.0,16765.0,2525.0,2872.0,2872.0,10191.0,10331.0,34947.0,131463.0,239228.0,239228.0,37503.0,428362.0,140363.0,290873.0,137489.0,428362.0,2872.0,11404.0,-15041.0,12729.0,-15041.0,-3637.0,137489.0,117321.0,0.13,3.12,10198.0,2022-09
