revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,cf_cff,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
33740.0,19459.0,8625.0,9192.0,9192.0,13912.674,14077.174,13443.0,129702.0,77128.0,55300.0,3520.0,221538.0,31301.0,51698.0,169840.0,221538.0,9192.0,13210.0,-5282.0,-3478.0,10980.0,-5282.0,7928.0,169840.0,149497.0,0.58,1.3,13919.1,2018-09
39276.0,21358.0,8221.0,8948.0,8948.0,13904.772,14017.992,16701.0,135676.0,82507.0,59719.0,3430.0,232792.0,34620.0,55164.0,177628.0,232792.0,8948.0,12987.0,-7081.0,-2746.0,10801.0,-7081.0,5906.0,177628.0,157520.0,0.54,1.31,13911.1,2018-12
36339.0,20327.0,8305.0,6657.0,6657.0,13897.374,14017.574,19148.0,138207.0,94095.0,69365.0,3297.0,245349.0,34910.0,61877.0,183472.0,245349.0,6657.0,12000.0,-4638.0,-4183.0,10918.0,-4638.0,7362.0,183472.0,163466.0,0.56,1.34,13895.6,2019-03
38944.0,21648.0,9180.0,9947.0,9947.0,13879.374,13999.074,16587.0,147437.0,101143.0,74604.0,3046.0,257101.0,37000.0,64909.0,192192.0,257101.0,9947.0,12627.0,-6126.0,-4746.0,12015.0,-6126.0,6501.0,192192.0,172290.0,0.56,1.34,13881.0,2019-06
40499.0,22931.0,9177.0,7068.0,7068.0,13854.814,13963.974,16032.0,148358.0,107746.0,79593.0,2789.0,263044.0,39224.0,68075.0,194969.0,263044.0,7068.0,15466.0,-6732.0,-6954.0,12097.0,-6732.0,8734.0,194969.0,175153.0,0.57,1.35,13818.1,2019-09
46075.0,25055.0,9266.0,10671.0,10671.0,13776.072,13903.852,18498.0,152578.0,115148.0,84587.0,3063.0,275909.0,45221.0,74467.0,201442.0,275909.0,10671.0,14427.0,-6052.0,-7326.0,12679.0,-6052.0,8375.0,201442.0,178839.0,0.54,1.37,13766.7,2019-12
41159.0,22177.0,7977.0,6836.0,6836.0,13729.294,13845.334,19644.0,147018.0,120903.0,87966.0,3478.0,273403.0,40189.0,69744.0,203659.0,273403.0,6836.0,11451.0,-6005.0,-8186.0,11085.0,-6005.0,5446.0,203659.0,181085.0,0.54,1.34,13679.4,2020-03
38297.0,19744.0,6383.0,6959.0,6959.0,13635.354,13740.474,17742.0,149069.0,125859.0,90315.0,3626.0,278492.0,43658.0,71170.0,207322.0,278492.0,6959.0,13993.0,-5391.0,-7498.0,9769.0,-5391.0,8602.0,207322.0,184801.0,0.52,1.34,13624.3,2020-06
46173.0,25056.0,11213.0,11247.0,11247.0,13588.974,13717.014,20129.0,164369.0,132233.0,93582.0,4246.0,299243.0,48200.0,86323.0,212920.0,299243.0,11247.0,17003.0,-5406.0,546.0,14691.0,-5406.0,11597.0,212920.0,190530.0,0.54,1.41,13554.5,2020-09
56898.0,30818.0,15651.0,15227.0,15227.0,13511.614,13659.374,26465.0,174296.0,138673.0,96960.0,5037.0,319616.0,56834.0,97072.0,222544.0,319616.0,15227.0,22677.0,-5479.0,-9270.0,19376.0,-5479.0,17198.0,222544.0,199924.0,0.54,1.44,13504.4,2020-12
55314.0,31211.0,16437.0,17930.0,17930.0,13464.394,13641.414,26622.0,172137.0,143556.0,100204.0,5296.0,327095.0,55453.0,97082.0,230013.0,327095.0,17930.0,19289.0,-5942.0,-13606.0,19190.0,-5942.0,13347.0,230013.0,205849.0,0.56,1.42,13421.9,2021-03
61880.0,35653.0,19361.0,18525.0,18525.0,13378.994,13591.994,23630.0,175697.0,150053.0,104675.0,5451.0,335387.0,55741.0,97822.0,237565.0,335387.0,18525.0,21890.0,-5496.0,-15991.0,22306.0,-5496.0,16394.0,237565.0,213533.0,0.58,1.41,13352.7,2021-06
65118.0,37497.0,21031.0,18936.0,18936.0,13315.0,13530.0,23719.0,184110.0,154822.0,107549.0,5471.0,347403.0,61782.0,102836.0,244567.0,347403.0,18936.0,25539.0,-6819.0,-15254.0,24335.0,-6819.0,18720.0,244567.0,220395.0,0.58,1.42,13293.6,2021-09
75325.0,42337.0,21885.0,20642.0,20642.0,13253.976,13449.896,20945.0,188143.0,159971.0,110557.0,6646.0,359268.0,64254.0,107633.0,251635.0,359268.0,20642.0,24934.0,-6383.0,-16511.0,25324.0,-6383.0,18551.0,251635.0,227262.0,0.56,1.43,13242.4,2021-12
68011.0,38412.0,20094.0,16436.0,16436.0,13203.414,13351.014,20886.0,177853.0,169169.0,117210.0,7166.0,357096.0,61948.0,103092.0,254004.0,357096.0,16436.0,25106.0,-9786.0,-16214.0,23876.0,-9786.0,15320.0,254004.0,229681.0,0.56,1.41,13175.3,2022-03
69685.0,39581.0,19453.0,16002.0,16002.0,13132.994,13238.994,17936.0,172371.0,173656.0,119621.0,7202.0,355185.0,61354.0,99766.0,255419.0,355185.0,16002.0,19422.0,-6828.0,-17817.0,23352.0,-6828.0,12594.0,255419.0,230093.0,0.57,1.39,13078.0,2022-06
69092.0,37934.0,17135.0,13910.0,13910.0,13018.0,13097.0,21984.0,166109.0,177552.0,122040.0,8661.0,358255.0,65979.0,104629.0,253626.0,358255.0,13910.0,23353.0,-7276.0,-18097.0,21181.0,-7276.0,16077.0,253626.0,222600.0,0.55,1.41,12971.0,2022-09
