revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
5432.2,2562.1,705.7,510.5,510.5,1948.8,1979.6,1625.6,8944.6,4111.0,1874.8,637.9,12594.8,3311.6,4562.2,8032.6,12594.8,510.5,357.6,-93.6,791.0,-93.6,264.0,8032.6,6895.1,0.47,1.57,1940.89,2008-08
4590.1,2050.0,503.2,391.0,391.0,1934.8,1959.2,1721.5,8923.4,4109.4,1900.9,783.4,12634.7,3089.6,4518.5,8116.2,12634.7,391.0,280.7,-117.3,592.8,-117.3,163.4,8116.2,7089.2,0.45,1.56,1936.29,2008-11
4440.8,1948.5,596.4,243.8,243.8,1936.0,1952.4,1892.1,8998.6,4150.8,1893.9,715.3,12255.7,2858.2,4044.9,8210.8,12255.7,243.8,24.1,-109.8,676.3,-109.8,-85.7,8210.8,7562.9,0.44,1.49,1937.39,2009-02
4713.0,2043.8,649.5,341.4,341.4,1938.4,1956.8,2291.1,9734.0,4255.7,1957.7,897.0,13249.6,3277.0,4556.5,8693.1,13249.6,341.4,1073.7,-103.0,778.0,-103.0,970.7,8693.1,8032.2,0.43,1.52,1942.0,2009-05
4799.0,2216.0,670.0,513.0,513.0,1943.2,1966.4,2260.6,9606.9,4373.8,1980.8,936.8,13190.6,2852.8,4100.2,9090.4,13190.6,513.0,709.0,-80.0,751.0,-80.0,629.0,9090.4,8424.3,0.46,1.45,1948.04,2009-08
4405.0,1960.0,481.0,375.0,375.0,1948.8,1978.0,2035.2,9765.6,4502.5,2023.9,900.2,13358.4,2798.3,4134.6,9223.8,13358.4,375.0,668.0,-93.0,575.0,-93.0,575.0,9223.8,8555.1,0.44,1.45,1949.81,2009-11
4733.0,2218.0,655.0,497.0,497.0,1937.6,1969.2,2225.2,10088.0,4437.2,1962.6,867.0,13576.3,2846.7,4147.4,9428.9,13576.3,497.0,512.0,-67.0,742.0,-67.0,445.0,9428.9,8770.2,0.47,1.44,1934.8,2010-02
5077.0,2406.0,668.0,522.0,522.0,1938.4,1982.8,3079.1,10959.2,4389.8,1931.9,873.6,14419.3,3364.2,4665.6,9753.7,14419.3,522.0,1275.0,-95.0,802.0,-95.0,1180.0,9753.7,9099.1,0.47,1.48,1936.0,2010-05
5175.0,2434.0,761.0,559.0,559.0,1918.4,1954.4,2010.0,10531.0,4535.0,1975.0,883.0,14051.0,3142.0,4391.0,9660.0,14051.0,559.0,212.0,-89.0,823.0,-89.0,123.0,9660.0,8998.0,0.47,1.45,1911.49,2010-08
4842.0,2193.0,582.0,457.0,457.0,1911.6,1950.4,1768.0,10916.0,4641.0,2003.0,884.0,14464.0,3248.0,4515.0,9949.0,14464.0,457.0,435.0,-102.0,695.0,-102.0,333.0,9949.0,9288.0,0.45,1.45,1913.98,2010-11
5021.0,2248.0,808.0,594.0,594.0,1877.6,1918.0,1955.0,11297.0,4906.0,2115.0,894.0,14998.0,3958.0,5155.0,9843.0,14998.0,633.0,842.0,-129.0,906.0,-129.0,713.0,9843.0,9151.0,0.45,1.52,1872.0,2011-05
6081.0,2693.0,870.0,645.0,645.0,1860.0,1897.2,1608.0,11039.0,5034.0,2166.0,858.0,14803.0,3760.0,4904.0,9899.0,14803.0,645.0,87.0,-113.0,981.0,-113.0,-26.0,9899.0,9159.0,0.44,1.5,1854.67,2011-08
5546.0,2376.0,645.0,469.0,469.0,1837.0,1873.8,1929.0,10725.0,5064.0,2177.0,930.0,14565.0,3563.0,4722.0,9843.0,14565.0,480.0,510.0,-145.0,732.0,-145.0,365.0,9843.0,9110.0,0.43,1.48,1835.65,2011-11
5656.0,2485.0,777.0,560.0,560.0,1830.2,1869.2,2021.0,10932.0,5172.0,2205.0,921.0,14794.0,3410.0,4618.0,10176.0,14794.0,560.0,328.0,-120.0,899.0,-120.0,208.0,10176.0,9440.0,0.44,1.45,1833.47,2012-02
