revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
3288.498,439.299,-598.055,-675.95,-675.95,2539.635,2539.635,3367.914,6570.52,22435.52,20491.616,1171.497,28655.372,7674.67,23023.05,5632.322,28655.372,-771.229,509.545,-905.789,-128.452,-905.789,-396.244,5632.322,5210.583,0.13,5.09,2531.96,2017-12
3408.751,456.526,-596.974,-709.551,-709.551,2537.19,2537.19,2665.673,6383.92,21457.645,19180.724,1299.073,27271.429,8650.359,21551.023,5720.406,27271.429,-784.627,-398.376,-728.637,-180.741,-728.637,-1127.013,5720.406,5312.694,0.13,4.77,2546.25,2018-03
4002.231,618.93,-517.958,-717.539,-717.539,2549.955,2549.955,2236.424,6699.797,22129.591,19591.426,1254.087,27910.0,9141.362,22642.887,5267.113,27910.0,-742.706,-129.664,-677.213,-32.703,-677.213,-806.877,5267.113,4902.423,0.15,5.3,2557.74,2018-06
6824.0,1524.0,443.0,311.0,311.0,2565.0,2670.0,2967.504,7920.491,22627.348,19733.969,1251.551,29262.713,9775.324,23409.144,5853.569,29262.713,254.333,1391.04,-559.15,945.512,-559.15,831.89,5853.569,5496.867,0.22,5.0,2573.67,2018-09
7226.0,1443.0,419.0,140.0,140.0,2586.0,2586.0,3686.0,8307.0,30148.0,19691.0,1392.0,29740.0,9993.0,23427.0,6313.0,29740.0,210.0,1235.0,-354.0,916.0,-354.0,881.0,6313.0,5963.0,0.2,4.71,2589.04,2018-12
4541.0,566.0,-478.0,-702.0,-702.0,2595.0,2595.0,2198.169,7677.822,22787.24,19318.095,1568.727,28912.524,9242.8,22874.618,6037.906,28912.524,-668.0,-640.0,-305.0,-10.0,-305.0,-945.0,6037.906,5690.026,0.12,4.79,2605.23,2019-03
6350.0,921.0,-50.0,-408.0,-408.0,2655.0,2655.0,4954.74,10181.952,23457.295,19600.979,1608.833,31872.597,9588.773,24722.136,7150.461,31872.597,-389.0,864.0,-268.0,529.0,-268.0,596.0,7150.461,6669.628,0.15,4.46,2686.77,2019-06
6303.0,1191.0,261.0,143.0,143.0,2691.0,2766.0,5338.0,10940.0,24039.0,19845.0,1473.0,32795.0,10146.0,25313.0,7482.0,32795.0,150.0,756.0,-410.0,791.0,-410.0,346.0,7482.0,6945.0,0.19,4.38,2700.0,2019-09
7384.0,1391.0,347.0,105.0,105.0,2706.0,2706.0,6268.0,12103.0,24656.0,20199.0,1470.0,34309.0,10667.0,26199.0,8110.0,34309.0,132.0,1425.0,-449.0,924.0,-449.0,976.0,8110.0,7573.0,0.19,4.23,2715.93,2019-12
5985.0,1234.0,283.0,16.0,16.0,2745.0,2982.0,8080.0,14893.0,25321.0,20468.0,1373.0,37250.0,11986.0,26578.0,10672.0,37250.0,68.0,-440.0,-481.0,836.0,-481.0,-921.0,10672.0,10156.0,0.21,3.49,2775.0,2020-03
