revenue,gross_profit,operating_income,net_income,net_income_available_to_shareholders,shares_basic,shares_diluted,cash_and_equiv,total_current_assets,ppe_gross,ppe_net,other_lt_assets,total_assets,total_current_liabilities,total_liabilities,total_equity,total_liabilities_and_equity,cfo_net_income,cf_cfo,cfi_ppe_net,cf_cff,ebitda,capex,fcf,book_value,tangible_book_value,gross_margin,assets_to_equity,shares_eop,period_end_date
341.269,116.773,34.074,20.371,20.371,422.856,435.904,111.524,301.375,218.291,128.541,30.525,582.999,207.889,258.166,324.833,582.999,20.371,35.923,112.072,-86.593,89.895,112.072,147.995,324.833,202.275,0.34,1.79,413.84,2008-09
359.595,126.749,37.921,22.732,22.732,412.237,422.59,139.881,358.925,223.786,124.948,33.004,615.424,216.017,268.269,347.155,615.424,22.732,92.1,-7.471,-6.245,94.641,-7.471,84.629,347.155,248.608,0.35,1.77,412.037,2008-12
394.098,134.83,35.374,22.363,22.363,411.138,424.963,115.131,364.88,231.441,123.817,139.981,628.678,226.713,282.366,346.312,628.678,22.363,65.633,-6.572,-25.715,93.853,-6.572,59.061,346.312,346.312,0.34,1.82,409.465,2009-03
408.509,139.266,52.782,32.443,32.443,405.104,417.62,87.471,342.564,120.346,120.346,28.767,591.993,211.186,267.622,324.371,591.993,32.443,75.302,-6.933,-59.213,115.03,-6.933,68.369,324.371,224.055,0.34,1.83,401.91,2009-06
423.12,147.846,49.337,30.141,30.141,393.022,405.566,55.717,234.962,122.119,122.119,30.511,492.131,203.522,259.929,232.202,492.131,30.141,78.311,-9.994,-125.655,115.645,-9.994,68.317,232.202,127.663,0.35,2.12,382.499,2009-09
444.542,169.056,48.789,30.913,30.913,374.584,387.681,134.224,411.013,265.947,131.653,137.068,679.734,227.436,480.591,199.143,679.734,30.913,105.817,-22.433,125.942,-100.202,-22.433,83.384,199.143,199.143,0.38,3.41,374.081,2009-12
493.665,186.503,58.345,32.272,32.272,370.377,383.425,79.861,379.538,270.977,127.165,141.59,648.293,243.447,501.558,146.735,648.293,32.272,77.205,-6.393,-90.743,131.496,-6.393,70.812,146.735,146.735,0.38,4.42,365.833,2010-03
519.819,204.885,77.342,43.519,43.519,367.402,380.268,107.327,441.218,276.304,123.292,34.796,693.972,258.167,517.332,176.64,693.972,43.519,60.252,-5.671,-21.319,151.794,-5.671,54.581,176.64,81.974,0.39,3.93,366.507,2010-06
595.922,205.132,78.453,47.095,47.095,368.102,379.351,194.499,637.231,265.149,128.57,216.266,982.067,388.579,691.903,290.164,982.067,47.095,96.717,-14.431,42.857,183.721,-14.431,82.286,290.164,290.164,0.34,3.38,369.474,2010-12
718.553,280.402,102.24,60.233,60.233,369.313,379.722,150.419,721.602,276.51,134.8,233.786,1090.188,490.318,814.466,275.722,1090.188,60.233,116.323,-16.32,-86.728,224.993,-16.32,100.003,275.722,275.722,0.39,3.95,367.634,2011-03
788.61,298.632,115.114,68.214,68.214,367.29,377.363,175.207,969.444,288.141,136.948,39.055,1570.693,726.709,1236.659,334.034,1570.693,68.214,86.392,-8.626,-26.655,293.762,-8.626,77.766,334.034,-91.212,0.38,4.7,367.754,2011-06
